Time	ID	Xcord	Ycord	Energy	State	CNType	DNType	TaskID	Active
0.00	0	0.00	0.50	149999.700	-1	NONE	GATE_IN	1	false
0.00	1	0.00	0.50	149999.700	-1	NONE	GATE_IN	2	false
0.10	0	0.00	1.00	149999.400	-1	NONE	GATE_IN	1	false
0.10	1	0.00	1.00	149999.400	-1	NONE	GATE_IN	2	false
0.20	0	0.00	1.50	149999.100	-1	NONE	GATE_IN	1	false
0.20	1	0.00	1.50	149999.100	-1	NONE	GATE_IN	2	false
0.30	0	0.00	2.00	149998.800	-1	NONE	GATE_IN	1	false
0.30	1	0.00	2.00	149998.800	-1	NONE	GATE_IN	2	false
0.40	0	0.00	2.50	149998.500	-1	NONE	GATE_IN	1	false
0.40	1	0.00	2.50	149998.500	-1	NONE	GATE_IN	2	false
0.50	0	0.00	3.00	149998.200	-1	NONE	GATE_IN	1	false
0.50	1	0.00	3.00	149998.200	-1	NONE	GATE_IN	2	false
0.60	0	0.00	3.50	149997.900	-1	NONE	GATE_IN	1	false
0.60	1	0.00	3.50	149997.900	-1	NONE	GATE_IN	2	false
0.70	0	0.00	4.00	149997.600	-1	NONE	GATE_IN	1	false
0.70	1	0.00	4.00	149997.600	-1	NONE	GATE_IN	2	false
0.80	0	0.00	4.50	149997.300	-1	NONE	GATE_IN	1	false
0.80	1	0.00	4.50	149997.300	-1	NONE	GATE_IN	2	false
0.90	0	0.00	5.00	149997.000	-1	NONE	GATE_IN	1	false
0.90	1	0.00	5.00	149997.000	-1	NONE	GATE_IN	2	false
1.00	0	0.00	5.50	149996.700	-1	NONE	GATE_IN	1	false
1.00	1	0.00	5.50	149996.700	-1	NONE	GATE_IN	2	false
1.10	0	0.00	6.00	149996.400	-1	NONE	GATE_IN	1	false
1.10	1	0.00	6.00	149996.400	-1	NONE	GATE_IN	2	false
1.20	0	0.00	6.50	149996.100	-1	NONE	GATE_IN	1	false
1.20	1	0.00	6.50	149996.100	-1	NONE	GATE_IN	2	false
1.30	0	0.00	7.00	149995.800	-1	NONE	GATE_IN	1	false
1.30	1	0.00	7.00	149995.800	-1	NONE	GATE_IN	2	false
1.40	0	0.00	7.50	149995.500	-1	NONE	GATE_IN	1	false
1.40	1	0.00	7.50	149995.500	-1	NONE	GATE_IN	2	false
1.50	0	0.00	8.00	149995.200	-1	NONE	GATE_IN	1	false
1.50	1	0.00	8.00	149995.200	-1	NONE	GATE_IN	2	false
1.60	0	0.00	8.50	149994.900	-1	NONE	GATE_IN	1	false
1.60	1	0.00	8.50	149994.900	-1	NONE	GATE_IN	2	false
1.70	0	0.00	9.00	149994.600	-1	NONE	GATE_IN	1	false
1.70	1	0.00	9.00	149994.600	-1	NONE	GATE_IN	2	false
1.80	0	0.00	9.50	149994.300	-1	NONE	GATE_IN	1	false
1.80	1	0.00	9.50	149994.300	-1	NONE	GATE_IN	2	false
1.90	0	0.00	10.00	149994.000	-1	NONE	GATE_IN	1	false
1.90	1	0.00	10.00	149994.000	-1	NONE	GATE_IN	2	false
2.00	0	0.00	10.50	149993.700	-1	NONE	GATE_IN	1	false
2.00	1	0.00	10.50	149993.700	-1	NONE	GATE_IN	2	false
2.10	0	0.00	11.00	149993.400	-1	NONE	GATE_IN	1	false
2.10	1	0.00	11.00	149993.400	-1	NONE	GATE_IN	2	false
2.20	0	0.00	11.50	149993.100	-1	NONE	GATE_IN	1	false
2.20	1	0.00	11.50	149993.100	-1	NONE	GATE_IN	2	false
2.30	0	0.00	12.00	149992.800	-1	NONE	GATE_IN	1	false
